58,"Rambukpiti Pasbage Rambukpitiya Sri Bod Library
Pasbage Korale a v
Dekinda
Sri Dhammarathana Library
Pasbage Korale Sabha
Bawwagama
Nawalapitiya",1,,,,3
59,"Sri Nandharamaya Public Library
Pasbage Korale Pradeshiya Sabha
Pallegama
Nawalapitiya",1,,,,3
60,"Sri Sunandharamaya Public Library
Pasbage Korale Pradeshiya Sabha
Warakava
Nawalapitiya",1,,,,3
61,"Aluthgama Public Library
Pathadumbara Pradeshiya Sabha
Aluthgama
Doragamuwa",1,,,,3
62,"Doragamuwa Public Library
Pathadumbara Pradeshiya Sabha
Doragamuwa",1,,,,3
63,"Kahallagama Public Library
Pathadumbara Pradeshiya Sabha
Kahallagama
Katugastota",1,,,,3
64,"Napana Public Library
Pathadumbara Pradeshiya Sabha
Napana
Menikhinna",1,,,,3
65,"Public Library
Pathadumbara Pradeshiya Sabha
Pathadumbara",1,,,,3
66,"Delthota Public Library
Pathahewaheta Pradeshiya Sabha
Delthota",1,,,,3
67,"Galaha Public Library
Pathahewabeta Pradeshiya Sabha
Galaha",1,,,,3
68,"Mailapitiya Public Library
Pathahewaheta Pradeshiya Sabha
Mailapitiya",1,,,,3
69,"Marassana Public Library
Pathahewaheta Pradeshiya Sabha
Marassana",1,,,,3
70,"Moragolla Parakum Public Library
Pathahewabeta Pradeshiya Sabha
Moragolla
Thalathuoya",1,,,,3
71,"Moragolla Public Library
Pathahewaheta Pradeshiya Sabha
Moragolla
Nuqaliyadda",1,,,,3
72,"Mudunakade Public Library
Pathahewaheta Pradeshiya Sabha
Mudunakade
Thalathuoya",1,,,,3
73,"Ankumbura Public Library
Pujapitiya Pradéshiya Sabha
Ankumbura",1,,,,3
74,"Batugoda Public Library
Pujapitiya Pradeshiya Sabha
Batugoda",1,,,,3
75,"Bokkawela Public Library
Pujapitiya Pradeshiya Sabha
Bokkawela U
Harankahawa",1,,,,3
76,"Aludeniya Public Library
Thumpane Pradeshiya Sabha
Aludeniya",1,,,,3
77,"Arambekade Public Library
Thumpane Pradeshiya Sabha
Arambekade",1,,,,3
78,"Galagedara Public Library
Thumpane Pradeshiya Sabha
Galagedara",1,,,,3
79,"Hatharaliyadda Public Library
Thumpane Pradeshiya Sabha
Hatharaliyadda",1,,,,3
80,"Sangarajapura Public Library
Thumpane Pradeshiya Sabha
Weliwita
Sangarajapura",1,,,,3
81,"Delpitiya Public Library
UdaPalatha Pradeshiya Sabha
Delpitiya
Atabage",1,,,,3
82,"Doluwa Public Library
UdaPalatha Pradeshiya Sabha
Doluwa
Gampola",1,,,,3
83,"Pussellawa Public Library
UdaPalatha Pradeshiya Sabha
Pussellawa",1,,,,3
84,"Wariyagala Public Library
UdaPalatha Pradeshiya Sabha
Wariyagala
Nillamba",1,,,,3
85,"Dambagahapitiya Public Library
Ududumbara Pradeshiya Sabha
Dambagahapitiya
Kahataliyadda",1,,,,3
86,"Hunnasgiriya Public Library
Ududumbara Pradeshiya Sabha
Mahiyangana Road
Hunnasgiriya",1,,,,3
87,"Kalunthenna Public Library
Ududumbara Pradeshiya Sabha
Kalubthenna
Bopana",1,,,,3
88,"Ududumbara Public Library
Ududumbara Pradeshiya Sabha
Ududumbara",1,,,,3
89,"Alapalawala Public Library
Udunuwara Pradeshiya Sabha
Alpalawala
Handessa",1,,,,3
90,"Daulagala Public Library
Udunuwara Pradeshiya Sabha
Handessa",1,,,,3
91,"Elpitikanda Public Library
Udunuwara Pradeshiya Sabha
Bambaragaha—E1a",1,,,,3
92,"Gelioya Public Library
Udunuwara Pradeshiya Sabha
Gelioya",1,,,,3
93,"Lankathilaka Public Library
Udunuwara Pradeshiya Sabha
Hiyarapitiya V
Handessa",1,,,,3
94,"Ambilmeegama Weera Denzil
Kobbekaduwa Public Library
Yatinuwara Pradeshiya Sabha
Ambilmeegama
Pilimathalawa",1,,,,3
95,"Amunupura Public Library
Yatinuwara Pradeshiya Sabha
Amunupura
Menikdiwela",1,,,,3
96,"Godamuduna Public Library
Yatinuwara Pradeshiya Sabha
Rajasinghapura
Muruthalawa",1,,,,3
97,"Katapitiya Public Library
Yatinuwara Pradeshiya Sabha
Katapitiya
Menikdiwela",1,,,,3
98,"Poththapitiya Public Library
Yatinuwara Pradeshiya Sabha
Poththapitiya
Menikdiwela",1,,,,3
99,"Sooriyagoda Public Library
Yatinuwara Pradeshiya Sabha
Sooriyagoda
Muruthalawa",1,,,,3
100,"Clode Aluvihare Memorial Public
Library
Matale Municipal Council
Aluvihare
Matale",1,,,,3
101,"Matale Public Library
Matale Municipal Council
Matale",1,,,,3
102,"Ptadeshiya Sabha Libraries
Ambanganga Korale Pradeahiya
Sabha",1,,,,3
103,"Matihakka Public Library
Ambanganga Korale Pradeshiya
Sabha
Matihakka
Matale",1,,,,3
104,"Pussella Public Library
Ambanganga Korale Pradeshiya
Sabha
Pussella
Gammaduwa",1,,,,3
105,"Public Library
Pradeshiya Sabha
Dambulla",1,,,,3
106,"Public Library
Pradeshiya Sabha
Galewela",1,,,,3
107,"Makulugaswewa Public Library
Galewela Pradeshiya Sabha
Makulugaswewa
Dewahuwa",1,,,,3
108,"Moragolla Public Library
Galewela Pradeshiya Sabha
Moragolla
Bambaragaswewa",1,,,,3
109,"Nabadagahawatta Public Library
Galewela Pradeshiya Sabha
Nabadagahawatta
Puwakpitiya
Galewela",1,,,,3
110,"Thalakiriyagama Public Library
Galewela Pradeshiya Sabha
Thalakiriyagama",1,,,,3
111,"Wahakotte Public Library
Galewela Pradeshiya Sabha
Wahakotte",1,,,,3
112,"Guruwela Public Library
Laggala~Pallegama Pradeshiya Sabha
Guruwela
Laggala
Pallegama",1,,,,3
113,"Hattota Amuna Public Library
Laggala—Pallegama Pradeshiya
Sabha
Kaluganga
Hattota Amuna",1,,,,3
114,"Ilukkumbura Public Library
Laggala—Pallegama Pradeshiya
Sabha
Ilukkumbura
Matale
O4",1,,,,3
115,"Laggala~Pallegama Public Library
Laggala-Palleqama Pradeshiya
Sabha
Laggala~Pallegama",1,,,,3
116,"Puwakpitiya Public Library
Laggala—Pallegama Pradeshiya
Sabha
Puwakpitiya
Ilukkumbura
Matale",1,,,,3
117,"Madawala Ulpatha Public Library
Matale Pradeshiya Sabha
Madawala Ulpatha
Madawala",1,,,,3
118,"Palapatwela Public Library
Matale Pradeshiya Sabha
Palapatwela
Matale ",1,,,,3
119,"Koongahawela Public Library
Naula Pradeshiya Sabha
Elahera Road I
Koongahawela",1,,,,3
120,"Nalanda Public Library
Naula Pradeshiya Sabha
Nalanda
Naula",1,,,,3
121,"Naula Public Library
Naula Pradeshiya Sabha
Dambulla Road
Naula",1,,,,3
122,"Millawana Public Library
Pallepola Pradeshiya Sabha
Millawana",1,,,,3
123,"Pallepola Public Library
Pallepola Pradeshiya Sabha
Akuramboda Road
Pallepola",1,,,,3
124,"Bandarapola Public Library
Rattota Pradeshiya Sabha
Bandarapola",1,,,,3
125,"Kambiadiya Public Library
Rattota Pradeshiya Sabha'
Kambiadiya",1,,,,3
126,"Rattota Public Library
Rattota Pradeshiya Sabha
Rattota",1,,,,3
127,"Weragama Public Library
Rattota Pradeshiya Sabha
Weragama",1,,,,3
128,"Elkaduwa Public Library
Ukuwela Pradeshiya Sabha
Elkaduwa",1,,,,3
129,"Ovilikanda Public Library
Ukuwela Pradeshiya Sabha
Ovilikanda
Ukuwela ",1,,,,3
130,"Thenna Public Library
Ukuwela Pradeshiya Sabba
Thenna
Ukuwela",1,,,,3
131,"Udathenna Public Library
Ukuwela Pradeshiya Sabha
Udathenna",1,,,,3
132,"Ukuwela Public Library
Ukuwela Pradeshiya Sabha
Ukuwela",1,,,,3
133,"Handungamuwa Public Library
Wilgamuwa Pradeshiya Sabha
Handungamuwa
Matale",1,,,,3
134,"Hettipola Public Library
Wilgamuwa Pradeshiya Sabha
Hettipola
Wilgamuwa",1,,,,3
135,"Maraka Public Library
Wilgamuwa Pradeshiya Sabha
Maraka.
Matale",1,,,,3
136,"Nugagolla Public Library
Wilgamuwa Pradeshiya Sabha
Nugagolla
Wilgamuwa",1,,,,3
137,"Rathalawewa Public Library
Yatawatta Pradeshiya Sabha
Rathalawewa
Mahawela",1,,,,3
138,"Walawela Public Library
Yatawatta Pradeshiya Sabha
Walawela




",1,,,,3
